,observed,mean.simulated,lowCI,uppCI,sign
K09645,10.99114783,19.22292545,14.14841607,23.68064733,SPECIALIST
K09648,9.137055838,14.67903768,10.16665089,18.94736842,SPECIALIST
K09651,9.257354454,18.37006376,13.58821082,22.76204822,SPECIALIST
K09667,13.99061743,18.87632268,14.16816666,23.19469795,SPECIALIST
K09680,4.408178439,15.40611859,10.72055308,19.44255207,SPECIALIST
K09682,9.619793814,17.7850364,12.68463848,22.45235804,SPECIALIST
K09685,13.88303561,19.22520093,14.40998911,23.60595487,SPECIALIST
K09696,16.9107318,22.47762138,17.88856481,25.72767595,SPECIALIST
K09704,12.00182925,21.97961622,17.78899439,25.68875811,SPECIALIST
K09706,12.0487106,17.09705516,12.47590443,21.56632338,SPECIALIST
K09711,13.50071389,20.23524424,15.45787333,24.25446234,SPECIALIST
K09716,11.20453607,19.82991135,14.92536843,24.05908859,SPECIALIST
K09717,12.60367454,17.69022292,13.04891304,21.75373097,SPECIALIST
K09721,1.714285714,10.99919339,7.2,15.15789474,SPECIALIST
K09723,4.986455982,13.76131452,9.318725173,17.95934959,SPECIALIST
K09736,2.605863192,13.08408753,8.886446886,17.0212766,SPECIALIST
K09738,13.62467111,19.87937276,15.24715821,24.12370328,SPECIALIST
K09744,14.93666061,21.82913033,17.51372342,25.56737568,SPECIALIST
K09753,9.617496804,20.58800344,16.02066453,24.49836399,SPECIALIST
K09775,14.98450929,20.18556604,15.21577308,24.64090439,SPECIALIST
K09787,10.58897243,17.71030397,12.66003542,22.25050544,SPECIALIST
K09799,11.26366712,20.89577141,16.12792205,25.02154072,SPECIALIST
K09800,19.82863804,24.97298769,22.23073059,26.01224856,SPECIALIST
K09801,9.495202424,19.8577666,14.94956729,24.13427556,SPECIALIST
K09802,4.15274082,17.16232299,12.12242076,21.10820559,SPECIALIST
K09805,3.022857143,10.87306665,7.053333333,14.2972973,SPECIALIST
K09818,15.60931942,20.74220063,16.06442979,24.73695154,SPECIALIST
K09824,13.98068351,19.85006219,15.30513218,24.16948129,SPECIALIST
K09829,3.372080955,16.54148848,12.12256994,20.96129032,SPECIALIST
K09834,2.968166746,17.56212135,12.7372124,21.92372288,SPECIALIST
K09836,2.301175015,14.54937219,10.41866218,18.69849246,SPECIALIST
K09838,11.22495202,17.46452655,12.73652641,21.32822757,SPECIALIST
K09842,1.360094451,13.79549554,9.214171429,18,SPECIALIST
K09843,6.192795743,16.70247553,12.30900976,20.92676233,SPECIALIST
K09844,5.411255411,14.12689205,9.998015873,18.11594203,SPECIALIST
K09845,11.73730835,20.76960316,16.10812695,25.03454578,SPECIALIST
K09847,5.082317899,16.96718287,12.17857244,21.35389086,SPECIALIST
K09860,7.277511962,13.00617965,8.403314917,17.08988764,SPECIALIST
K09865,7.628310771,18.57688349,13.30800344,22.86987839,SPECIALIST
K09868,4.5,12.75851768,8.64,16.61538462,SPECIALIST
K09872,2.658291457,10.86942909,7.048753247,14.31772201,SPECIALIST
K09889,11.06855672,20.97213217,16.27566362,24.77387586,SPECIALIST
K09892,7.634717875,19.79099985,14.78173246,23.82735211,SPECIALIST
K09895,10.29347636,20.77025955,16.10588422,24.77900621,SPECIALIST
K09902,2.831891772,16.52722199,11.94204067,20.76260163,SPECIALIST
K09907,11.04357443,18.5532427,13.72629445,22.99929029,SPECIALIST
K09912,11.72896906,20.36457296,15.35378907,24.70419552,SPECIALIST
K09913,9.237223975,16.78139591,12.08851812,20.8873713,SPECIALIST
K09914,15.00695732,21.56858465,16.73738052,25.47521461,SPECIALIST
K09918,9.338823529,14.75287536,10.36292428,18.99043062,SPECIALIST
K09920,10.87719625,20.66279899,15.8668904,24.58764388,SPECIALIST
K09923,4.078651685,12.45258375,8.441860465,16.25373134,SPECIALIST
K09925,9.914959573,19.1829808,14.38102332,23.54500518,SPECIALIST
K09926,13.81882035,19.27599567,14.64217207,23.47486208,SPECIALIST
K09929,11.43247015,18.87136357,13.82383023,23.15577889,SPECIALIST
K09934,13.96945509,20.94872615,16.2914644,25.02525481,SPECIALIST
K09938,10.59354082,20.97386485,16.16958678,24.91078059,SPECIALIST
K09941,14.89390508,19.89228309,15.01595471,24.08040919,SPECIALIST
K09943,2.381310124,18.05789207,12.90486136,22.04767777,SPECIALIST
K09952,11.6117809,21.0038019,16.60437605,24.95392315,SPECIALIST
K09954,3.182444062,13.54734009,9.291457286,17.60952381,SPECIALIST
K09955,19.84102137,24.23250322,20.91091185,25.96380079,SPECIALIST
K09960,8.452173913,17.95270414,13.00118446,22.28133482,SPECIALIST
K09961,3.767019147,19.39450734,14.81636029,23.94710279,SPECIALIST
K09968,9.592239054,17.84042117,13.24689406,22.23424723,SPECIALIST
K09975,8.288334926,20.67120004,15.88270285,24.74577017,SPECIALIST
K09980,2.340833333,16.38567115,11.95255703,20.73062731,SPECIALIST
K09996,12.96605082,20.08730333,15.00668017,24.22133114,SPECIALIST
K09997,12.14762742,18.4075542,14.02965134,22.72438356,SPECIALIST
K10000,3.03574898,16.70779577,12.11946693,20.80837776,SPECIALIST
K10011,5.59967027,21.23080143,16.35697398,25.31323367,SPECIALIST
K10014,11.07590072,18.25889263,13.57959739,22.46585784,SPECIALIST
K10017,10.12521069,18.42842495,13.6165678,22.92959315,SPECIALIST
K10037,1,2.8056,1.8,3,SPECIALIST
K10038,1.839578497,18.57407326,13.86407757,22.81953473,SPECIALIST
K10047,3.70685384,14.94798468,10.56111613,19.26609442,SPECIALIST
K10084,9.459854015,15.33219922,10.53658537,19.93846154,SPECIALIST
K10085,13.2795389,18.65003929,13.62309921,22.90418539,SPECIALIST
K10094,2.671717172,15.98563415,11.25531915,20.34861111,SPECIALIST
K10121,2.556936343,17.12020105,12.72899636,21.31501057,SPECIALIST
K10133,15.28345815,20.66010556,15.84143697,24.83123029,SPECIALIST
K10142,2.224199288,11.37797864,7.352941176,15.24390244,SPECIALIST
K10143,7.277511962,13.10287374,9.10508982,17.08988764,SPECIALIST
K10187,4.101398409,20.19096173,15.72171961,24.26385219,SPECIALIST
K10188,11.84112945,20.5738649,15.93060831,24.66188898,SPECIALIST
K10192,8.124718131,19.74120599,14.93134297,23.9555935,SPECIALIST
K10194,3.510433387,15.54436896,11.21160202,19.70567894,SPECIALIST
K10199,9.55008489,15.3720723,11.04786179,19.46366782,SPECIALIST
K10203,13.10790234,18.58327483,13.62980038,22.96781602,SPECIALIST
K10210,12.22496632,18.56699431,13.91364979,22.94636456,SPECIALIST
K10211,9.370638947,19.79007762,15.13115322,24.24526663,SPECIALIST
K10212,8.110675808,15.89792826,11.41895244,20.24694377,SPECIALIST
K10213,5.342650312,17.38443895,12.58538313,21.37576063,SPECIALIST
K10235,8.437551696,16.32415974,12.0994017,20.36331765,SPECIALIST
K10242,12.44988211,20.21166739,15.6843909,24.24375873,SPECIALIST
K10252,6.169614984,15.43582733,10.7986557,19.83615328,SPECIALIST
K10256,4.900874636,13.3451847,9.183309703,17.69473684,SPECIALIST
K10257,2.086705202,9.913585641,6.333333333,13.37037037,SPECIALIST
K10258,8.213143872,17.0670043,12.51127275,21.30998606,SPECIALIST
K10259,1.035868006,16.52071824,11.5212766,20.82692308,SPECIALIST
K10260,5.869565217,13.8112452,9.597156398,17.92035398,SPECIALIST
K10264,11.64203907,18.5531418,13.47867244,22.87845199,SPECIALIST
K10268,9.170900693,17.93814659,13.37794698,21.9867313,SPECIALIST
